ActorID,ActorFirstName,ActorMiddleName,ActorLastName,Birthday,Description,Nationality
1,George,NULL,Lucas,1944-05-14,"Arguably the most important film innovator in","Modesto - California - US"
2,Mark,NULL,Hamill,1951-09-25,"From Wikipedia, the free encyclopedia.

Mark ","Concord, California, USA"
3,Harrison,NULL,Ford,1942-07-13,"Legendary Hollywood Icon Harrison Ford was bo","Chicago, Illinois, United"
4,Carrie,NULL,Fisher,1956-10-21,"Carrie Frances Fisher (born October 21, 1956)","Beverly Hills - Los Angel"
5,Peter,NULL,Cushing,1913-05-26,"From Wikipedia, the free encyclopedia.

Peter","Kenley, Surrey, England, "
6,Anthony,NULL,Daniels,1946-02-21,"From Wikipedia, the free encyclopedia.

Antho","Salisbury, Wiltshire, Eng"
7,Andrew,NULL,Stanton,1958-01-13,"From Wikipedia, the free encyclopedia.

Andre","Boston, Massachusetts, US"
10,Bob,NULL,Peterson,1961-01-18,"From Wikipedia, the free encyclopedia.

Rober","Wooster, Ohio, USA"
12,Alexander,NULL,Gould,1994-05-04,"From Wikipedia, the free encyclopedia.

Alexa","Los Angeles, California, "
13,Albert,NULL,Brooks,1947-07-22,"From Wikipedia, the free encyclopedia.

Alber","Beverly Hills, California"
14,Ellen,NULL,DeGeneres,1958-01-26,"From Wikipedia, the free encyclopedia.

Ellen","Metairie, Louisiana, USA"
18,Brad,NULL,Garrett,1960-04-14,"From Wikipedia, the free encyclopedia.

Brad ","Woodland Hills, Los Angel"
19,Allison,NULL,Janney,1959-11-19,"Personal life

Janney was(height 6' (1,83 m))","Dayton - Ohio - USA"
20,Elizabeth,NULL,Perkins,1960-11-18,"From Wikipedia, the free encyclopedia.

Eliza","Queens, New York, USA"
22,Barry,NULL,Humphries,1934-02-17,"​From Wikipedia, the free encyclopedia

John ","Camberwell, Melbourne, Au"
23,Bill,NULL,Hunter,1940-02-27,"​From Wikipedia, the free encyclopedia.  

Wi","Ballarat, Victoria, Austr"
31,Tom,NULL,Hanks,1956-07-09,"Thomas Jeffrey ""Tom"" Hanks (born July 9, 1956","Concord - California - US"
32,Robin,NULL,Wright,1966-04-08,"Robin Gayle Wright (born April 8, 1966) is an","Dallas, Texas, USA"
33,Gary,NULL,Sinise,1955-03-17,"From Wikipedia, the free encyclopedia.

Gary ","Blue Island, Illinois, US"
34,Mykelti,NULL,Williamson,1960-03-04,"Michael T. ""Mykelti"" Williamson (born March 4","Saint Louis - Missouri - "
35,Sally,NULL,Field,1946-11-06,"​From Wikipedia, the free encyclopedia.  

Sa","Pasadena, California, USA"
48,Sean,NULL,Bean,1959-04-17,"From Wikipedia, the free encyclopedia

Shaun ","Sheffield, South Yorkshir"
49,Maria,NULL,Bello,1967-04-18,"Maria Elena Bello (born April 18, 1967,  heig","Norristown - Pennsylvania"
52,David,NULL,Morse,1953-10-11,"David Bowditch Morse (born October 11, 1953) ","Hamilton, Massachusetts, "
53,Peter,NULL,Stormare,1953-08-27,"From Wikipedia, the free encyclopedia, and IM","Arbrå, Gävleborgs län, Sw"
54,Maurice,NULL,Roeves,1937-03-19,"From Wikipedia, the free encyclopedia

Mauric","Sunderland, Tyne-and-Wear"
62,Bruce,NULL,Willis,1955-03-19,"Walter Bruce Willis, better known as Bruce Wi","Idar-Oberstein, Germany"
