CommentID,USER_UserID,REVIEW_ReviewID,Content,CommentTime,Likes,Dislikes
1,1,10096,Good!,"2013-04-23 19:54:01",0,0
2,139,10007,Good!,"2013-05-03 13:11:30",0,0
3,94,10010,Boring,"2013-04-11 13:52:07",0,0
4,107,10060,"Too bad","2013-04-05 19:38:47",0,0
5,103,10004,Good!,"2013-04-23 20:56:36",0,0
6,150,10107,"I like it","2013-04-23 11:19:36",0,0
7,149,10031,"Not bad.","2013-05-16 04:07:35",0,0
8,122,10059,"Too bad","2013-05-23 09:34:38",0,0
9,1,10038,Awesome,"2013-04-16 16:19:53",0,0
10,149,10038,Good!,"2013-05-15 16:19:13",0,0
11,115,10082,"Too bad","2013-03-22 06:06:06",0,0
12,134,10031,"Not bad.","2013-06-09 14:49:12",0,0
13,147,10082,Good!,"2013-04-26 16:54:45",0,0
14,127,10007,Awesome,"2013-06-20 12:42:08",0,0
15,116,10078,Good!,"2013-04-17 21:08:23",0,0
16,120,10047,"Not bad.","2013-05-19 03:22:59",0,0
17,96,10080,Awesome,"2013-03-13 13:33:37",0,0
18,102,10035,"Not bad.","2013-06-16 23:37:42",0,0
19,101,10080,Boring,"2013-05-15 12:03:27",0,0
20,96,10032,"Too bad","2013-04-16 20:14:14",0,0
21,94,10077,Boring,"2013-05-05 13:11:12",0,0
22,121,10027,"Not bad.","2013-04-29 04:13:21",0,0
23,123,10081,Boring,"2013-03-04 08:55:03",0,0
24,138,10086,Awesome,"2013-03-07 13:58:15",0,0
25,116,10095,Boring,"2013-04-06 18:54:29",0,0
26,142,10061,Awesome,"2013-05-12 18:02:28",0,0
27,140,10060,"Too bad","2013-03-21 06:06:20",0,0
28,126,10047,Good!,"2013-05-20 01:20:30",0,0
29,133,10030,Good!,"2013-06-06 13:08:56",0,0
30,108,10009,"Not bad.","2013-05-02 18:41:03",0,0
31,148,10058,Good!,"2013-03-31 09:47:35",0,0
32,150,10085,"I like it","2013-03-13 11:32:48",0,0
33,114,10056,"I like it","2013-04-24 06:54:16",0,0
34,110,10058,Boring,"2013-05-10 02:51:41",0,0
35,136,10002,"I like it","2013-03-10 01:08:12",0,0
36,1,10019,"I like it","2013-06-20 13:00:36",0,0
37,120,10060,Boring,"2013-04-28 10:34:08",0,0
38,109,10051,Awesome,"2013-04-05 22:17:13",0,0
39,106,10073,"Not bad.","2013-04-29 19:22:38",0,0
40,99,10060,Boring,"2013-06-15 03:12:37",0,0
41,141,10065,"Too bad","2013-03-19 09:53:07",0,0
42,146,10063,Boring,"2013-04-18 03:35:26",0,0
43,150,10052,Good!,"2013-03-18 18:47:47",0,0
44,115,10094,Good!,"2013-04-30 01:35:42",0,0
45,144,10102,"Not bad.","2013-03-22 08:03:53",0,0
46,147,10065,"I like it","2013-05-08 15:55:14",0,0
47,102,10023,"I like it","2013-05-06 10:42:05",0,0
48,150,10091,"I like it","2013-04-09 03:44:07",0,0
49,152,10077,"Not bad.","2013-05-12 14:26:16",0,0
50,129,10007,"I like it","2013-04-20 12:57:19",0,0
51,127,10013,"Not bad.","2013-03-11 14:08:38",0,0
52,117,10104,Good!,"2013-03-14 23:11:28",0,0
53,96,10026,Boring,"2013-03-27 00:29:31",0,0
54,137,10107,"I like it","2013-05-04 05:59:00",0,0
55,148,10008,"Not bad.","2013-06-06 02:11:15",0,0
56,132,10050,Awesome,"2013-04-13 10:03:03",0,0
57,105,10089,"Not bad.","2013-03-30 13:06:28",0,0
58,143,10019,"I like it","2013-04-23 20:39:47",0,0
59,104,10028,"I like it","2013-06-05 10:20:27",0,0
60,93,10095,"Not bad.","2013-03-14 22:47:28",0,0
61,121,10011,"Too bad","2013-03-17 00:06:25",0,0
62,108,10040,Awesome,"2013-05-16 15:44:24",0,0
63,114,10007,"Too bad","2013-06-19 15:29:40",0,0
64,143,10111,"I like it","2013-05-14 13:42:11",0,0
65,105,10008,"Not bad.","2013-04-11 11:59:37",0,0
66,111,10023,"Not bad.","2013-04-15 09:42:10",0,0
67,134,10008,Awesome,"2013-05-02 20:43:45",0,0
68,131,10014,Good!,"2013-05-18 14:31:39",0,0
69,123,10081,Boring,"2013-06-12 01:11:45",0,0
70,110,10053,Boring,"2013-03-13 19:19:22",0,0
71,124,10002,"Not bad.","2013-06-08 07:58:27",0,0
72,139,10009,"Too bad","2013-03-06 21:11:17",0,0
73,116,10074,Boring,"2013-03-05 13:52:00",0,0
74,137,10111,"Too bad","2013-04-12 03:40:49",0,0
75,114,10032,Good!,"2013-04-26 19:52:34",0,0
76,115,10006,"Not bad.","2013-06-12 14:13:54",0,0
77,104,10019,Good!,"2013-03-29 15:23:36",0,0
78,125,10098,Good!,"2013-03-18 21:33:31",0,0
79,131,10004,"I like it","2013-06-21 06:48:37",0,0
