MOVIE_MovieID,Country
11,"United States of America"
12,Australia
12,"United States of America"
13,"United States of America"
18,France
22,"United States of America"
58,"United States of America"
78,"Hong Kong"
78,"United Kingdom"
78,"United States of America"
82,"United States of America"
85,"United States of America"
89,"United States of America"
98,Malta
98,Morocco
98,"United Kingdom"
98,"United States of America"
105,"United States of America"
115,"United Kingdom"
115,"United States of America"
120,"New Zealand"
120,"United States of America"
121,"New Zealand"
121,"United States of America"
122,"New Zealand"
122,"United States of America"
129,Japan
152,"United States of America"
154,"United States of America"
155,"United Kingdom"
155,"United States of America"
161,"United States of America"
200,"United States of America"
218,"United Kingdom"
218,"United States of America"
238,"United States of America"
240,"United States of America"
241,"United States of America"
242,Italy
242,"United States of America"
272,"United Kingdom"
272,"United States of America"
277,Germany
277,Hungary
277,"United Kingdom"
277,"United States of America"
278,"United States of America"
280,France
280,"United States of America"
285,"United States of America"
296,Germany
296,"United Kingdom"
296,"United States of America"
329,"United States of America"
330,"United States of America"
331,"United States of America"
348,"United Kingdom"
348,"United States of America"
425,"United States of America"
453,"United States of America"
500,"United States of America"
510,"United States of America"
534,Germany
534,Italy
534,"United Kingdom"
534,"United States of America"
550,Germany
550,"United States of America"
557,"United States of America"
558,"United States of America"
559,"United States of America"
562,"United States of America"
597,"United States of America"
603,Australia
603,"United States of America"
646,Jamaica
646,"United Kingdom"
671,"United Kingdom"
671,"United States of America"
679,"United Kingdom"
679,"United States of America"
680,"United States of America"
755,"United States of America"
767,"United Kingdom"
767,"United States of America"
769,"United States of America"
808,"United States of America"
809,"United States of America"
812,"United States of America"
834,"United States of America"
840,"United States of America"
857,"United States of America"
862,"United States of America"
920,"United States of America"
950,"United States of America"
953,"United States of America"
1103,"United Kingdom"
1103,"United States of America"
1124,"United States of America"
1248,"Czech Republic"
1248,France
1248,Italy
1248,"United Kingdom"
1271,"United States of America"
1417,Mexico
1417,Spain
1422,"Hong Kong"
1422,"United States of America"
1487,"United States of America"
1571,"United States of America"
1572,"United States of America"
1573,"United States of America"
1576,"United States of America"
1577,Canada
1577,France
1577,Germany
1577,"United Kingdom"
1588,"United States of America"
1593,"United Kingdom"
1593,"United States of America"
1724,"United States of America"
1726,"United States of America"
1734,"United States of America"
1735,Canada
1735,China
1735,Germany
1735,"United States of America"
1771,"United States of America"
1830,France
1830,Germany
1830,"United States of America"
1858,"United States of America"
1865,"United States of America"
1891,"United States of America"
1892,"United States of America"
1893,"United States of America"
1894,"United States of America"
1895,"United States of America"
1930,"United States of America"
1965,"United States of America"
1992,"United States of America"
1995,"United States of America"
1996,Germany
1996,Japan
1996,"United Kingdom"
1996,"United States of America"
2062,"United States of America"
2080,"United States of America"
2105,"United States of America"
2493,"United States of America"
2501,"Czech Republic"
2501,Germany
2501,"United States of America"
2502,Germany
2502,"United States of America"
2503,Germany
2503,"United States of America"
2649,"United States of America"
2770,"United States of America"
2787,Australia
2789,"United States of America"
3071,"United Kingdom"
3511,France
3511,"United Kingdom"
4133,"United States of America"
4538,"United States of America"
4638,"United Kingdom"
5689,"United States of America"
7443,"United Kingdom"
7737,Australia
7737,France
7737,Germany
7737,"United Kingdom"
7737,"United States of America"
8054,France
8054,"United Kingdom"
8054,"United States of America"
8273,"United States of America"
8274,"United States of America"
8275,"United States of America"
8277,"United States of America"
8355,"United States of America"
8373,"United States of America"
8409,"United States of America"
8587,"United States of America"
8681,France
8681,"United Kingdom"
8681,"United States of America"
8698,"Czech Republic"
8698,Germany
8698,"United Kingdom"
8698,"United States of America"
8871,Germany
8871,"United States of America"
9257,"United States of America"
9339,"United States of America"
9361,"United States of America"
9381,France
9381,"United Kingdom"
9473,"United States of America"
9506,"United States of America"
9543,"United States of America"
9615,Japan
9615,"United States of America"
9762,"United States of America"
9799,"United States of America"
9839,Germany
9839,"United States of America"
9902,Germany
9902,"United States of America"
10138,"United States of America"
10191,"United States of America"
10192,"United States of America"
10193,"United States of America"
10195,"United States of America"
10196,"United States of America"
10307,"United States of America"
10328,"United States of America"
10527,"United States of America"
10681,"United States of America"
10764,"United Kingdom"
10764,"United States of America"
11238,"United States of America"
11322,"United States of America"
11324,"United States of America"
11430,Australia
11430,"United States of America"
11452,"United States of America"
11619,"United Kingdom"
11619,"United States of America"
11824,"United States of America"
12105,"United Kingdom"
12192,"United States of America"
12437,"United States of America"
12444,"United Kingdom"
12444,"United States of America"
12445,"United States of America"
12573,France
12573,"United Kingdom"
12573,"United States of America"
13053,"United States of America"
13179,"United States of America"
13475,Germany
13475,"United States of America"
13804,"United States of America"
13995,"United States of America"
14160,"United States of America"
14161,Canada
14161,"United States of America"
14756,"Hong Kong"
14869,"United States of America"
15357,France
15512,"United States of America"
16164,"United States of America"
16577,"Hong Kong"
16577,Japan
16577,"United States of America"
16710,"United States of America"
16781,"United States of America"
16869,Germany
16869,"United States of America"
18823,"United States of America"
19913,"United States of America"
19995,"United Kingdom"
19995,"United States of America"
20352,"United States of America"
20504,"United States of America"
20526,"United States of America"
20676,"United States of America"
21385,"United States of America"
24021,"United States of America"
24253,Sweden
24428,"United States of America"
25475,"United States of America"
26123,"United States of America"
