Review_ReviewID,SummaryContent
10001,"One of the best animated films I have ever seen. Great characters, amusing animation, and laugh-out-loud humor. Also, watch for the little skit shown after the credits. It's all great stuff that simply must be seen."
10002,"This movie is one of the best movies of all time! It has a great story lines and graphics of it's time and even to today's standards it is brilliant. The world is well though out and well demonstrated. Zorg is a great bad guy, played by Gary Oldman and Bruce Willis plays his role very well. All in all a excellent movie."
10003,"A simple enough concept: Guy must save a World (in the Future!) from Evil! by protecting a Magical Macguffin, only in this case it’s a Girl! instead of a Thing.

There’s really not a lot of story here. Not a lot of character either. Why waste valuable screen time with such paltry concerns when you can instead have Chris Tucker prancing around as a flamboyant radio host in the most annoying cinematic sci-fi supporting character not created by George Lucas? Instead, the film casts actors who do a fair job of acting simply by being themselves: Bruce Wills is Korben Dallas, a brawny, shoot-first hero who, when the chips are down, is brawny and shoot-firsty. The Magical Girlfriend MacGuffin, Leeloo, is played by Mila Jovovich (in her breakout performance) and some strategically-placed wrappings (the wrappings have had a harder time breaking into more mainstream roles). Ian Holm turns up as the Old Mentor, and filling out the cast is Gary Oldman as the antagonist Zord (in his hammiest role ever).

The film seriously rises to the level of made-for-SciFi Channel-original and no higher. The plot is nonsensical, the acting committed but laughable, and the dialogue so stiff you’d think the script pages had been starched.

So where does the film go legitimately wrong? Two main places: first, Besson carries on the proud tradition of French filmmakers doing weird things solely for the sake of being weird. The entire film is filled to the brim with the kind of idiosyncratic touches that I’ve come to expect from that region. Most of the bits don’t work, but I’ll give them credit for keeping things interesting.

The second, more serious issue is another that seems to plague genre French directors, and that’s the whole matter being played (largely) for farce. The most successful (creatively) American (sci-fi/)action films are defined in very large part by their villain. This film, like so many other sci-fi/action films I’ve seen from French directors, never establish or maintain an element of power for the villains over the heroes. The villains are painted as clueless, moronic, out of their depth, or outright incompetent. That tradition continues here. What would Star Wars be without Darth Vader? Die Hard without Hans Gruber? Aliens without…uh, aliens?

Lacking a strong (or even memorable) central villain (we have two: a Gary Oldman so hammy I’m pretty sure Muslims couldn’t work on the film, and the other being a giant planet-size ball of…Pure!Evil! No joke.), the film sacrifices the one shot it had at having some kind of weight or dimension. There’s no sense of danger or peril, no chance that the Hero won’t triumph, and [spoilers!] the day is essentially saved by a Care Bear stare.

So, does what I’ve just said make it bad? Well, yes. Let’s try again. Does that made it unenjoyable? No, and it’s an important distinction to make. The film is an interesting curiosity. After a half-hour of the bizarre, if you can let yourself be swept into its idiosyncratic world you’ll find a perfectly watchable B (or C)-movie. It rankles a bit to think about how much was wasted making dreck this dreck-y, but it’s entertaining dreck."
10004,"Gladiator has been my most favorite film of all time. It is an epic masterpiece in many ways and it really explains why despite the numerous viewings, Gladiator still amuses me with its powerful imageries and many other crucial aspects so that it won five Academy Awards. This film is very well written, the well-ensemble casts, the A-class acting (especially Russell Crowe and Joaquin Phoenix), the stunning cinematography and definitely a strong character of Maximus (magnificently portrayed by Russell Crowe) whose life, struggle, disappointment and anger really move the audience, as if the world attention centers on him. Gladiator is not a historical film, because it only used the history of the ancient Roman Empire merely as the time setting.
All other aspects namely those gorgeous shots, the great storyline/plot, the fantastic cinematography, the vividly lavish colors, detailed production design and digital imaging (that successfully rebuilt the stunning beauty of the ancient Roman Empire) and all sell really well, making the 170 minute-long running time definitely worthwhile. The visual of great battle in the first 15 minutes really stole my heart. The gruesome pictures, the blood and violence just to beautiful to abandon. Everything in this movie seems perfectly balanced, Ridley Scott as the film director really did his homework well in redefining and revitalizing the big battle sequence once considered masterpiece from Spartacus and Ben Hur. In the end, once again, I would say that Gladiator perfectly combines some crucial elements such as good, moving story, dazzling visual, beautiful scenery, filming techniques, direction and touching music score into one harmonious, action-packed film about heroism and its true meaning."
10005,"Brooking no argument, history should quickly regard Peter Jackson’s The Fellowship Of The Ring as the first instalment of the best fantasy epic in motion picture history. This statement is worthy of investigation for several reasons.

Fellowship is indeed merely an opening salvo, and even after three hours in the dark you will likely exit the cinema ravenous with anticipation for the further two parts of the trilogy. Fellowship is also unabashedly rooted in the fantasy genre. Not to be confused with the techno-cool of good science fiction, nor even the cutesy charm of family fare like Harry Potter, the territory of Tolkien is clearly marked by goo and goblins and gobbledegook. Persons with an aversion to lines such as, “To the bridge of Khazad-dûm!” are as well to stay within the Shire-like comforts of home (their loss).

With those caveats in place, it bears repeating: fantasy does not come finer. There are electrifying moments — notably the computer-assisted swooping camera through Isengard as it transforms into a factory for evil — when Jackson’s flight of fancy approaches the sublime as the romantic poets would understand it: inspiring awe.

Leaving aside the thorny issue of Tolkien die-hards and their inevitable gripes — “What no Tom Bombadil?” — Jackson’s screenplay (written in collaboration with Fran Walsh and Phillipa Boyens) is both bolder and more judicious than Steven Kloves’ surprisingly timid retread of Harry Potter. In particular, rescuing the romance of Arwen and Aragorn from the footnotes and the elevation of Saruman to all-action bad guy actually has a corrective influence on Tolkien’s often oblique and female-sparse source material.

There are problems, though. The three-hour running time is high on incident and low on discernible form. After successive detours to Elf habitats Rivendell (the watery home of Elrond) and Lothlórien (the forest home of the Lady Galadriel), the uninitiated might well ask why these crazy Elf kids can’t just live together and spare us all this attenuated dramatic structure.

More importantly, the action clearly climaxes in the desperate flight from the Mines Of Moria, where the largely seamless SFX is showcased in the best possible light — total darkness — but the narrative demands a different, downbeat ending. Indeed, but for some fine emotional playing from Bean, Mortensen, Astin and Wood, the final fight might feel like a particularly brutal game of paintball in Bluebell Wood. But then, the real battles are yet to come...


Verdict - Putting formula blockbusters to shame, Fellowship is impeccably cast and constructed with both care and passion: this is a labour of love that never feels laboured. Emotional range and character depth ultimately take us beyond genre limitations, and it deserves to play as wide as a certain Mr. Potter.

5/5

- Colin Kennedy, Empire Magazine"
10006,"Peter Jackson has always maintained that The Two Towers is ""the second act"" of his epic undertaking, and perhaps the true greatness of the middle chapter will only be clear when viewed in context. As a stand-alone film, however, The Two Towers is not quite as good as Fellowship. (Nor, indeed, does it extend the universe or deepen the relationships in the manner of The Empire Strikes Back.) That it still merits the full five stars is merely an indication of how high the benchmark has been set.

Picking up pretty much where Fellowship left off, this is a considerably darker film, with Frodo (Wood) falling further under the influence of the Ring (giving rise to some seriously spooky hallucinations), while Saruman (Christopher Lee) wreaks even more havoc. There's also the first appearance of Saruman's spy, the sinister Wormtongue (Brad Dourif), and the complex Gollum, a brilliant combination of computer trickery and raspy vocals from Andy Serkis (the campaign for a Best Supporting Actor Oscar starts here).

Other newcomers include Faramir (David Wenham), the understandably miffed brother of the recently deceased Boromir, and Éowyn (Miranda Otto), who spends much of her time casting winsome glances in the general direction of Aragorn (Mortensen). Eventually the plot complexities become more coherent, setting the action up for the forthcoming finale, The Return Of The King.

As we've come to expect, this is spectacular stuff - from an opening which sees Frodo troubled by dreams about the demise of Gandalf, through to the climactic Battle Of Helm's Deep, which is nothing short of breathtaking. But Jackson cleverly tempers the louder, brasher sequences with some heartstring-tugging moments - peasants despondent as they are forced to abandon their villages, Aragorn and Arwen's troubled relationship, and, of course, the return of Gandalf (Sir Ian McKellen, superb as ever), one of the film's most powerful, memorable images that may well leave Ring devotees a little misty-eyed.

However, those who still believe that the trilogy is beyond criticism may find their views challenged by The Two Towers. It's just as long as the first film, but gets the heroes no closer to a final victory. And, where the first movie developed its emotional tone from the brightness of The Shire to a darker climax, the sequel is more of a one-note affair, shadowy in both look and content.

This is particularly true of the Ringbearer's quest, which adds the not-insignifcant Gollum to the party, but suffers more than the other story strands from the cross-cutting and finishes with a nearly identical pep talk from Sam to the tearful speech that climaxed Fellowship. Of course, given the nature of the material, and Jackson's desire to be faithful, this is all understandable. And by the time we all end up under siege at Helm's Deep, it's unlikely anyone will give a toss about narrative arcs: like Gollum, this is simply gob-smacking, mind-blowing, never-seen-before stuff.


Verdict - It may lack the first-view-thrill and natural dramatic shape of Fellowship, but this is both funnier and darker than the first film, and certainly more action-packed. An essential component of what is now destined to be among the best film franchises of all time. 

5/5

- Caroline Westbrook, Empire Magazine"
10007,"And so all good things come to an end. For three years in a row, Peter Jackson has banished our winter blues with the individual instalments of his Tolkien trilogy, effectively shifting the focus of our cinematic excitement from the summer months to the end of the year. But now that his epic has been unveiled in its entirety, what will be the lasting effects of his achievement?

Well, grand-scale fantasy filmmaking is back on the menu, laying down the gauntlet to George Lucas and Star Wars Episode III. Jackson has also proved that notions of risk and ambition needn't be confined to the low-budget, indie end of the spectrum; nor does California have an exclusive stranglehold on groundbreaking special effects.

And then there's the DVD factor. Just as The Lord Of The Rings was upping the stakes in theatres, so too was its DVD release pattern defining what can (and should) be done on disc for major movies.

In particular, the four-disc extended editions seem to have affected the director's thinking as to what he can get away with in his theatrical final cut. Hence the public grumbles from Christopher Lee about the non-appearance of Saruman in this final instalment. While it might have been fair to grant Lee a curtain call, Jackson quite rightly realises that it is Sauron, not Saruman, whose fiery eye encompasses all the narrative strands of the climax.

The Return Of The King marks the first time in the series when Jackson's roots as a horror filmmaker creep through. As the orcs catapult severed Gondorian heads beyond the walls of Minas Tirith, flesh-rotted ghosts draw swords alongside Aragorn and giant spider Shelob stalks Frodo through dark, web-shrouded tunnels, the film pushes the boundaries of its 12A certificate.

And so it should, because the look and tone must necessarily grow darker as the Hobbits near Mount Doom and Mordor's evil hand grips Middle-earth ever tighter.

Character nuances have been crafted over an unprecedented ten hours-plus of cinematic storytelling: from Strider lurking in the shadowy corner to Aragorn rallying the troops; from Merry and Pippin as bumbling fools to stout-hearted, pint-sized warriors. Only Legolas and Gimli seem to have regressed (in screen time at least) to set-piece archer and comedy sidekick respectively. At least Andy Serkis is rewarded for his Gollum voice work with an early flashback that gets his face on screen, as well as warning us that, under the ring's power, Smeagol can be as murderous as Gollum.

Jackson has kept the momentum of the series rolling on and on though the traditionally 'difficult' middle part and 'weak' finale, delivering a climax to the story that's neater and more affecting than what Tolkien managed on the printed page. Some viewers might feel that the director sprinkles some cheese on his extended coda, adding at least one false ending too many (even if he does ignore the book's Scouring of The Shire).

But those who have walked beside these heroes every step of the way on such a long journey deserve the emotional pay-off as well as the action peaks, and they will be genuinely touched as the final credits roll. Yes, the Ring is dead. Long live King Kong.


Verdict - The resounding climax to a landmark in cinema history. But the King has now returned, the story is over and the ships are leaving Middle-earth. Ladies and gentlemen, Elvish has left the building.

5/5

- Alan Morrison, Empire Magazine"
10008,"Being Scottish, this movie really does a good job at showing off the scenery in and around Scotland. The story line of this movie keeps you on the edge of your seat all the way through the movie. Mel Gibson does a really good job with the accent and plays a great role as William Wallace in the movie.

I cant help by want to stand up and shout FREEDOM! once the movie is finished. Could watched this movie another 1000 times and not get board of watching it. It's a must watch for any one who has not see it yet."
10009,"What can I say about this movie, its amazing! full of explosions and action. The setting is slightly different than other terminator films but I like this new ""survival"" setting more so than the older terminators. Terminator 2 was and always will be my favourite terminator movie but this one sure comes close, defiantly my second favourite terminator movie.

There is only so much a review can tell you but this is a must watch movie for any one who has not seen it yet."
10010,"worst of the terminator series"
